trial,partner,trait,ran,order,response,sub,TrialNumber,Partner,Trait,Rating
1,3,0,1.0,0.0,5.0,10983,,,,
2,2,0,1.0,1.0,2.0,10983,,,,
3,1,0,1.0,2.0,0.0,10983,,,,
4,3,1,1.0,3.0,0.0,10983,,,,
5,2,1,1.0,4.0,-1.0,10983,,,,
6,1,1,1.0,5.0,-5.0,10983,,,,
1,3,0,1.0,0.0,0.0,10860,,,,
2,2,0,1.0,1.0,0.0,10860,,,,
3,1,0,1.0,2.0,0.0,10860,,,,
4,3,1,1.0,3.0,0.0,10860,,,,
5,2,1,1.0,4.0,0.0,10860,,,,
6,1,1,1.0,5.0,0.0,10860,,,,
1,3,0,1.0,0.0,5.0,10649,,,,
2,2,0,1.0,1.0,5.0,10649,,,,
3,1,0,1.0,2.0,5.0,10649,,,,
4,3,1,1.0,3.0,-4.0,10649,,,,
5,2,1,1.0,4.0,-4.0,10649,,,,
6,1,1,1.0,5.0,-4.0,10649,,,,
1,3,0,1.0,0.0,5.0,11021,,,,
2,2,0,1.0,1.0,3.0,11021,,,,
3,1,0,1.0,2.0,5.0,11021,,,,
4,3,1,1.0,3.0,-4.0,11021,,,,
5,2,1,1.0,4.0,-2.0,11021,,,,
6,1,1,1.0,5.0,0.0,11021,,,,
1,3,0,1.0,0.0,5.0,10572,,,,
2,2,0,1.0,1.0,5.0,10572,,,,
3,1,0,1.0,2.0,3.0,10572,,,,
4,3,1,1.0,3.0,-2.0,10572,,,,
5,2,1,1.0,4.0,-2.0,10572,,,,
6,1,1,1.0,5.0,0.0,10572,,,,
1,3,0,1.0,0.0,5.0,10928,,,,
2,2,0,1.0,1.0,3.0,10928,,,,
3,1,0,1.0,2.0,1.0,10928,,,,
4,3,1,1.0,3.0,0.0,10928,,,,
5,2,1,1.0,4.0,0.0,10928,,,,
6,1,1,1.0,5.0,0.0,10928,,,,
1,3,0,1.0,0.0,5.0,10402,,,,
2,2,0,1.0,1.0,5.0,10402,,,,
