TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,4,2,1,8.075000e-01,8.075000e-01,1.0,0.0,2.7000206e-06,0.0096405,4.0269256,1.0,6.0006046,1.9736788,6.1009474,1.5338212,7.6367106,6.0,7.636849,8.24579,4.2188635,8.245952,9.056311,--
2,2,1,1,1,2.422500e+00,8.075000e-01,1.0,1.0,--,--,9.062092,1.0,9.900611,0.8385187,10.000949,2.6689813,12.67181,7.0,12.67192,13.277884,4.2157917,13.278018,15.702756,--
3,3,7,3,1,8.075000e-01,1.615000e+00,1.0,2.0,--,--,15.726799,2.0,16.05047,0.3236725,16.150808,3.9913275,20.145517,1.0,20.145628,20.753872,5.027073,20.754004,21.563637,--
4,4,7,3,1,8.075000e-01,8.075000e-01,1.0,3.0,--,--,21.577284,2.0,22.00061,0.4233262,22.100956,3.084174,25.187513,4.0,25.187622,25.793934,4.2166495,25.794067,26.603365,--
5,5,7,3,1,8.075000e-01,8.075000e-01,1.0,4.0,--,--,26.616936,2.0,27.25057,0.6336348,27.350878,2.8738651,30.22655,1.0,30.22666,30.831299,4.214363,30.831427,31.641088,--
6,6,2,1,2,8.075000e-01,8.075000e-01,1.0,5.0,--,--,31.644173,1.0,32.384514,0.7403403,32.484814,2.7671597,35.255226,5.0,35.255337,35.86347,4.2192955,35.863598,36.672897,--
7,7,3,1,3,2.422500e+00,2.422500e+00,1.0,6.0,--,--,36.674637,2.0,37.40057,0.725933,37.500923,4.396567,41.89911,6.0,41.899223,42.507683,5.8330474,42.507812,44.932056,--
8,8,8,3,2,8.075000e-01,1.615000e+00,1.0,7.0,--,--,44.946796,1.0,45.367435,0.4206394,45.46778,3.8943605,49.364544,5.0,49.364655,49.97097,5.0241737,49.971104,50.781673,--
9,9,7,3,1,2.422500e+00,1.615000e+00,1.0,8.0,--,--,50.795383,1.0,51.41842,0.6230333,51.518723,3.6919668,55.212845,7.0,55.212948,55.81793,5.0225453,55.818066,58.24283,--
10,10,9,3,3,5.652500e+00,1.615000e+00,1.0,9.0,--,--,58.25622,2.0,58.68409,0.4278668,58.784443,3.8871331,62.673874,7.0,62.673977,63.27887,5.022648,63.279,68.933876,--
11,11,6,2,3,8.075000e-01,2.422500e+00,1.0,10.0,--,--,68.94639,1.0,69.46723,0.5208485,69.56754,4.6016517,74.17137,1.0,74.17148,74.774925,5.8285384,74.775055,75.584595,--
12,12,1,1,1,8.075000e-01,2.422500e+00,1.0,11.0,--,--,75.58809,2.0,76.217186,0.6290924,76.3175,4.4934077,80.81284,2.0,80.81294,81.42097,5.8328714,81.4211,82.23086,--
